TIME,elapsed_time,ax,ay,az,gx,gy,gz,angx,angy,HEADING,temp,pressure,alt,lat,longi,gpsalt,light
2023-07-27 07:49:36,3.79798,-0.06,-0.01,1.06,0.07,-0.02,0.05,-0.38,3.46,342.93,25.2,100737.0,1.11,36.365,127.346,0.0,58.0
2023-07-27 07:49:36,3.90897,-0.07,-0.01,1.06,0.22,-0.08,-0.12,-0.29,3.86,343.66,25.19,100737.0,1.12,36.365,127.346,0.0,60.0
2023-07-27 07:49:36,4.01683,-0.07,-0.01,1.07,0.04,0.1,-0.14,-0.43,3.93,344.45,25.2,100740.0,0.87,36.365,127.346,0.0,60.0
2023-07-27 07:49:36,4.11898,-0.07,-0.01,1.07,0.08,0.08,-0.11,-0.47,3.85,342.93,25.2,100737.0,1.15,36.365,127.346,0.0,60.0
2023-07-27 07:49:36,4.21092,-0.07,-0.01,1.06,0.37,-0.04,0.26,-0.63,3.74,342.47,25.2,100739.0,0.99,36.365,127.346,0.0,62.0
2023-07-27 07:49:36,4.47445,-0.08,-0.01,1.07,0.31,-0.16,-0.09,-0.63,4.04,343.39,25.2,100739.0,0.94,36.365,127.346,0.0,62.0
2023-07-27 07:49:37,4.90194,-0.07,-0.01,1.06,0.29,0.47,0.01,-0.34,3.75,343.86,25.2,100739.0,0.99,36.365,127.346,0.0,60.0
2023-07-27 07:49:37,5.04176,-0.07,-0.01,1.07,0.43,0.08,0.01,-0.37,3.53,344.12,25.2,100741.0,0.78,36.365,127.346,0.0,59.0
2023-07-27 07:49:37,5.14743,-0.07,-0.01,1.07,0.37,0.11,-0.24,-0.49,3.76,343.66,25.19,100738.0,1.07,36.365,127.346,0.0,62.0
2023-07-27 07:49:37,5.24467,-0.08,0.0,1.07,0.5,-0.18,-0.11,-0.14,4.38,343.11,25.19,100741.0,0.81,36.365,127.346,0.0,60.0
2023-07-27 07:49:37,5.33796,-0.07,-0.01,1.07,0.27,-0.06,-0.11,-0.71,3.72,343.25,25.19,100738.0,1.02,36.365,127.346,0.0,61.0
2023-07-27 07:49:37,5.45071,-0.07,-0.01,1.07,0.15,0.13,-0.33,-0.54,3.8,343.72,25.19,100739.0,0.96,36.365,127.346,0.0,60.0
2023-07-27 07:49:37,5.54819,-0.07,-0.01,1.07,0.24,-0.14,-0.33,-0.34,3.83,343.86,25.2,100737.0,1.1,36.365,127.346,0.0,62.0
2023-07-27 07:49:38,5.63935,-0.07,-0.01,1.07,0.24,0.28,-0.08,-0.31,3.84,343.66,25.19,100739.0,0.99,36.365,127.346,0.0,59.0
2023-07-27 07:49:38,5.78144,-0.08,-0.01,1.07,0.37,0.1,-0.19,-0.46,4.11,344.32,25.19,100737.0,1.13,36.365,127.346,0.0,61.0
2023-07-27 07:49:38,5.95789,-0.08,-0.01,1.06,0.22,-0.14,-0.1,-0.34,4.16,343.39,25.19,100739.0,0.96,36.365,127.346,0.0,60.0
2023-07-27 07:49:38,6.05892,-0.07,-0.01,1.07,0.4,0.03,-0.24,-0.57,3.59,344.12,25.18,100738.0,1.06,36.365,127.346,0.0,60.0
2023-07-27 07:49:38,6.14315,-0.07,-0.01,1.07,0.46,0.12,0.01,-0.44,3.7,342.79,25.19,100738.0,1.09,36.365,127.346,0.0,60.0
2023-07-27 07:49:38,6.24825,-0.08,-0.01,1.07,0.28,-0.2,-0.14,-0.33,4.02,343.21,25.19,100738.0,1.01,36.365,127.346,0.0,60.0
2023-07-27 07:49:38,6.33514,-0.08,-0.01,1.07,0.37,-0.01,-0.08,-0.51,4.11,343.53,25.19,100738.0,1.07,36.365,127.346,0.0,62.0
2023-07-27 07:49:38,6.44404,-0.08,-0.01,1.07,0.33,0.12,-0.34,-0.3,4.05,343.53,25.19,100737.0,1.14,36.365,127.346,0.0,60.0
2023-07-27 07:49:38,6.5282,-0.07,0.0,1.07,0.49,-0.07,-0.2,-0.24,3.75,342.93,25.19,100738.0,1.06,36.365,127.346,0.0,61.0
2023-07-27 07:49:39,6.61802,-0.07,-0.01,1.06,0.13,0.17,-0.29,-0.32,3.67,343.99,25.19,100738.0,1.01,36.365,127.346,0.0,60.0
2023-07-27 07:49:39,6.70771,-0.08,-0.01,1.07,0.1,-0.07,-0.27,-0.33,4.1,343.99,25.2,100741.0,0.81,36.365,127.346,0.0,59.0
2023-07-27 07:49:39,6.81444,-0.07,-0.01,1.07,0.42,0.14,-0.2,-0.33,3.98,343.99,25.19,100739.0,0.97,36.365,127.346,0.0,61.0
2023-07-27 07:49:39,7.53898,-0.07,-0.01,1.07,0.37,-0.04,-0.11,-0.51,3.76,343.99,25.2,100739.0,0.97,36.365,127.346,0.0,59.0
2023-07-27 07:49:40,7.62866,-0.07,-0.01,1.07,0.41,-0.03,-0.07,-0.52,3.76,343.39,25.2,100738.0,1.01,36.365,127.346,0.0,61.0
2023-07-27 07:49:40,7.72462,-0.07,-0.01,1.07,0.35,0.14,-0.17,-0.42,3.67,343.86,25.2,100738.0,1.01,36.365,127.346,0.0,60.0
2023-07-27 07:49:40,7.83001,-0.07,-0.01,1.07,0.22,0.08,-0.08,-0.37,3.68,344.45,25.2,100739.0,0.93,36.365,127.346,0.0,61.0
2023-07-27 07:49:40,7.9276,-0.07,-0.01,1.06,0.43,0.22,-0.28,-0.51,3.97,343.39,25.2,100739.0,1.0,36.365,127.346,0.0,61.0
2023-07-27 07:49:40,8.03582,-0.07,0.0,1.07,0.27,-0.09,-0.06,-0.18,3.96,343.53,25.2,100740.0,0.87,36.365,127.346,0.0,60.0
2023-07-27 07:49:40,8.15822,-0.07,-0.01,1.06,0.11,-0.05,-0.16,-0.33,3.96,343.25,25.21,100739.0,0.94,36.365,127.346,0.0,60.0
2023-07-27 07:49:40,8.23826,-0.07,-0.01,1.07,0.27,-0.27,-0.02,-0.48,3.92,343.8,25.2,100741.0,0.82,36.365,127.346,0.0,60.0
2023-07-27 07:49:40,8.33244,-0.07,-0.01,1.07,0.37,-0.21,-0.27,-0.33,3.91,344.45,25.2,100737.0,1.13,36.365,127.346,0.0,60.0
2023-07-27 07:49:40,8.43838,-0.07,0.0,1.07,0.32,-0.05,-0.09,-0.2,3.96,342.02,25.2,100739.0,0.96,36.365,127.346,0.0,59.0
2023-07-27 07:49:41,8.60554,-0.07,-0.01,1.07,0.27,0.03,-0.04,-0.47,3.66,343.99,25.2,100738.0,1.06,36.365,127.346,0.0,61.0
2023-07-27 07:49:41,8.69864,-0.07,-0.01,1.07,0.32,-0.05,0.07,-0.55,3.97,343.07,25.18,100735.0,1.04,36.365,127.346,0.0,60.0
